depMapID,Name,BMGC_Disease_ID,BMGC_Disease_name,Pathology,Histology,type,PATHOLOGIST_ANNOTATION,tcga_code,id,xref_NCIt_name,xref_ORDO_name,depmap_match_1_disease,depmap_match_1_disease_name,depmap_match_2_disease,depmap_match_2_disease_name,ncit_match_1_disease,ncit_match_1_disease_name,ncit_match_2_disease,ncit_match_2_disease_name,ordo_match_1_disease,ordo_match_1_disease_name,ordo_match_2_disease,ordo_match_2_disease_name
ACH-000042,Panc 02.03,BMGC_DS05421,pancreatic adenocarcinoma,primary,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000045,MV-4-11,BMGC_DS20800,"leukemia, myeloid, acute",primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,CVCL_0064,Childhood acute monocytic leukemia,Acute monoblastic/monocytic leukemia,BMGC_DS20800,"Leukemia, Myeloid, Acute",BMGC_DS20480,"Leukemia, Myeloid",BMGC_DS05322,T-cell adult acute lymphocytic leukemia,BMGC_DS07386,adult acute lymphoblastic leukemia | adult acute lymphocytic leukemia,BMGC_DS09029,acute lymphoblastic leukemia | precursor lymphoblastic lymphoma/leukemia,BMGC_DS07386,adult acute lymphoblastic leukemia | adult acute lymphocytic leukemia
ACH-000046,ACHN,BMGC_DS08344,papillary renal cell carcinoma,metastasis,carcinoma,kidney,Kidney:Carcinoma,KIRC,,,,,,,,,,,,,,,
ACH-000047,GCIY,BMGC_DS05289,gastric adenocarcinoma,primary,carcinoma,stomach,Gastric:Carcinoma,STAD,,,,,,,,,,,,,,,
ACH-000048,TOV-112D,BMGC_DS06034,ovarian endometrioid adenocarcinoma,primary,carcinoma,ovary,Ovary:Carcinoma,OV,,,,,,,,,,,,,,,
ACH-000050,NCI-H929,BMGC_DS01639,plasma cell myeloma,metastasis,lymphoid_neoplasm,multiple_myeloma,Lymphoma:Multiple_Myeloma,MM,,,,,,,,,,,,,,,
ACH-000052,A-673,BMGC_DS06886,ewing sarcoma,primary,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,Ewings_Sarcoma,Bone:Sarcoma_Ewing,SARC,,,,,,,,,,,,,,,
ACH-000053,KARPAS-299,BMGC_DS08403,alk-positive anaplastic large cell lymphoma,primary,lymphoid_neoplasm,lymphoma_other,Lymphoma:NH_T_cell,,,,,,,,,,,,,,,,
ACH-000054,HT-1080,BMGC_DS00889,fibrosarcoma,metastasis,fibrosarcoma,soft_tissue,Soft_Tissue:Sarcoma_Fibro,SARC,,,,,,,,,,,,,,,
ACH-000055,D283 Med,BMGC_DS01553,medulloblastoma,metastasis,primitive_neuroectodermal_tumour-medulloblastoma,medulloblastoma,CNS:Medulloblastoma,MB,,,,,,,,,,,,,,,
ACH-000056,DOHH-2,BMGC_DS02693,diffuse large b-cell lymphoma,metastasis,lymphoid_neoplasm,lymphoma_DLBCL,Lymphoma:NH_B_cell,DLBC,,,,,,,,,,,,,,,
ACH-000058,ML-1,BMGC_DS21147,"thyroid carcinoma, anaplastic",primary,carcinoma,thyroid,Thyroid:Carcinoma,THCA,,,,BMGC_DS03290,malignant tumor of parathyroid gland | parathyroid carcinoma,BMGC_DS21147,"Thyroid Carcinoma, Anaplastic",BMGC_DS20323,Fever,BMGC_DS22241,,BMGC_DS20323,Fever,BMGC_DS22241,
ACH-000059,SUP-B15,BMGC_DS19139,b-lymphoblastic leukemia/lymphoma with t(9;22)(q34.1;q11.2),primary,lymphoid_neoplasm,B-cell_ALL,Leukemia:ALL,ALL,,,,,,,,,,,,,,,
ACH-000060,Panc 10.05,BMGC_DS08986,pancreatic ductal adenocarcinoma,primary,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000061,HH,BMGC_DS20796,"leukemia-lymphoma, adult t-cell",primary,lymphoid_neoplasm,T-cell_ALL,Leukemia:ALL,ALL,,,,BMGC_DS20796,"Leukemia-Lymphoma, Adult T-Cell",BMGC_DS20800,"Leukemia, Myeloid, Acute",BMGC_DS20323,Fever,BMGC_DS22241,,BMGC_DS20323,Fever,BMGC_DS22241,
ACH-000062,RERF-LC-MS,BMGC_DS02944,lung adenocarcinoma,primary,carcinoma,lung_NSC,Lung:NSCLC_Others,LUAD,,,,,,,,,,,,,,,
ACH-000065,OCI-AML5,BMGC_DS01407,acute myeloid leukemia,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,,,,,,,,,,,,,,,
ACH-000067,Hs 683,BMGC_DS01767,oligodendroglioma,primary,glioma,glioma,CNS:Glioma,LGG,,,,,,,,,,,,,,,
ACH-000070,697,BMGC_DS13122,b-cell acute lymphoblastic leukemia with t(1;19)(q23;p13.3); e2a-pbx1 (tcf3-pbx1),primary,lymphoid_neoplasm,leukemia_other,Leukemia:ALL,ALL,CVCL_0079,Childhood B acute lymphoblastic leukemia,B-lymphoblastic leukemia/lymphoma with t(1;19)(q23;p13.3),BMGC_DS20800,"Leukemia, Myeloid, Acute",BMGC_DS20478,"Leukemia, Megakaryoblastic, Acute",BMGC_DS09029,acute lymphoblastic leukemia | precursor lymphoblastic lymphoma/leukemia,BMGC_DS07386,adult acute lymphoblastic leukemia | adult acute lymphocytic leukemia,BMGC_DS13122,B-cell acute lymphoblastic leukemia with t(1;19)(q23;p13.3); E2A-PBX1 (TCF3-PBX1),BMGC_DS06807,acute myeloid leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22)
ACH-000072,MEG-01,BMGC_DS00276,"blast phase chronic myelogenous leukemia, bcr-abl1 positive",primary,haematopoietic_neoplasm,CML,Leukemia:CML,LCML,,,,,,,,,,,,,,,
ACH-000073,GRANTA-519,BMGC_DS07533,mantle cell lymphoma,primary,lymphoid_neoplasm,lymphoma_other,Lymphoma:NH_B_cell,DLBC,,,,,,,,,,,,,,,
ACH-000074,KU812,BMGC_DS01409,"chronic myelogenous leukemia, bcr-abl1 positive",primary,haematopoietic_neoplasm,CML,Leukemia:CML,LCML,,,,,,,,,,,,,,,
ACH-000075,U-87 MG,BMGC_DS00965,glioblastoma,primary,glioma,glioma,CNS:Glioma,GBM,,,,,,,,,,,,,,,
ACH-000078,MHH-NB-11,BMGC_DS01722,neuroblastoma,metastasis,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,NB,,,,,,,,,,,,,,,
ACH-000081,GDM-1,BMGC_DS01407,acute myeloid leukemia,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,,,,,,,,,,,,,,,
ACH-000082,"G-292, clone A141B1",BMGC_DS01819,osteosarcoma,primary,osteosarcoma,osteosarcoma,Bone:Sarcoma_Osteo,SARC,,,,,,,,,,,,,,,
ACH-000087,SK-ES-1,BMGC_DS06886,ewing sarcoma,primary,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,Ewings_Sarcoma,Bone:Sarcoma_Ewing,SARC,,,,,,,,,,,,,,,
ACH-000090,PC-3,BMGC_DS06988,prostate carcinoma,metastasis,carcinoma,prostate,Prostate:Carcinoma,PRAD,,,,,,,,,,,,,,,
ACH-000091,OV56,BMGC_DS08978,ovarian serous adenocarcinoma,primary,carcinoma,ovary,Ovary:Carcinoma,OV,,,,,,,,,,,,,,,
ACH-000092,NCI-H2452,BMGC_DS09237,pleural mesothelioma,metastasis,mesothelioma,mesothelioma,Lung:Mesothelioma,MESO,,,,,,,,,,,,,,,
ACH-000094,HPAF-II,BMGC_DS08986,pancreatic ductal adenocarcinoma,metastasis,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000096,G-401,BMGC_DS07789,rhabdoid tumor of the kidney,primary,rhabdoid_tumour,soft_tissue,Soft_Tissue:Sarcoma_Rhabdoid,SARC,,,,,,,,,,,,,,,
ACH-000098,GAMG,BMGC_DS00965,glioblastoma,primary,glioma,glioma,CNS:Glioma,LGG,,,,,,,,,,,,,,,
ACH-000099,SIMA,BMGC_DS06911,adrenal gland neuroblastoma,primary,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,NB,,,,,,,,,,,,,,,
ACH-000100,RH-41,BMGC_DS04065,alveolar rhabdomyosarcoma,metastasis,rhabdomyosarcoma,soft_tissue,Soft_Tissue:Sarcoma_Rhabdoid,SARC,,,,,,,,,,,,,,,
ACH-000101,KE-37,BMGC_DS09029,acute lymphoblastic leukemia | precursor lymphoblastic lymphoma/leukemia,primary,lymphoid_neoplasm,leukemia_other,Leukemia:ALL,ALL,CVCL_1327,Adult T acute lymphoblastic leukemia,Precursor T-cell acute lymphoblastic leukemia,BMGC_DS20800,"Leukemia, Myeloid, Acute",BMGC_DS20478,"Leukemia, Megakaryoblastic, Acute",BMGC_DS09029,acute lymphoblastic leukemia | precursor lymphoblastic lymphoma/leukemia,BMGC_DS05322,T-cell adult acute lymphocytic leukemia,BMGC_DS20794,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,BMGC_DS09029,acute lymphoblastic leukemia | precursor lymphoblastic lymphoma/leukemia
ACH-000102,GMS-10,BMGC_DS00965,glioblastoma,primary,glioma,glioma,CNS:Glioma_HighGrade,GBM,,,,,,,,,,,,,,,
ACH-000103,Caov-4,BMGC_DS07934,ovarian adenocarcinoma | ovary adenocarcinoma,metastasis,carcinoma,ovary,,OV,CVCL_0202,High grade ovarian serous adenocarcinoma,,BMGC_DS03246,uterine adnexa cancer,BMGC_DS03249,uterine adnexa cancer,BMGC_DS08979,ovarian serous surface papillary adenocarcinoma | ovary papillary carcinoma,BMGC_DS09417,peritoneal serous adenocarcinoma | primary peritoneal serous adenocarcinoma,BMGC_DS20323,Fever,BMGC_DS22241,
ACH-000104,Loucy,BMGC_DS09029,acute lymphoblastic leukemia | precursor lymphoblastic lymphoma/leukemia,primary,lymphoid_neoplasm,T-cell_ALL,Leukemia:ALL,ALL,CVCL_1380,Adult T acute lymphoblastic leukemia,Precursor T-cell acute lymphoblastic leukemia,BMGC_DS20796,"Leukemia-Lymphoma, Adult T-Cell",BMGC_DS20800,"Leukemia, Myeloid, Acute",BMGC_DS09029,acute lymphoblastic leukemia | precursor lymphoblastic lymphoma/leukemia,BMGC_DS05322,T-cell adult acute lymphocytic leukemia,BMGC_DS20794,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,BMGC_DS09029,acute lymphoblastic leukemia | precursor lymphoblastic lymphoma/leukemia
ACH-000105,ALL-SIL,BMGC_DS09029,acute lymphoblastic leukemia | precursor lymphoblastic lymphoma/leukemia,primary,lymphoid_neoplasm,T-cell_ALL,Leukemia:ALL,ALL,CVCL_1805,Childhood T acute lymphoblastic leukemia,Precursor T-cell acute lymphoblastic leukemia,BMGC_DS20796,"Leukemia-Lymphoma, Adult T-Cell",BMGC_DS20800,"Leukemia, Myeloid, Acute",BMGC_DS09029,acute lymphoblastic leukemia | precursor lymphoblastic lymphoma/leukemia,BMGC_DS07386,adult acute lymphoblastic leukemia | adult acute lymphocytic leukemia,BMGC_DS20794,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,BMGC_DS09029,acute lymphoblastic leukemia | precursor lymphoblastic lymphoma/leukemia
ACH-000106,JVM-2,BMGC_DS07533,mantle cell lymphoma,primary,lymphoid_neoplasm,lymphoma_other,Lymphoma:NH_B_cell,CLL,,,,,,,,,,,,,,,
ACH-000107,Capan-2,BMGC_DS08986,pancreatic ductal adenocarcinoma,primary,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000108,KP-3,BMGC_DS08983,pancreatic adenosquamous carcinoma,metastasis,carcinoma,pancreas,Pancreas:Carcinoma,UNABLE TO CLASSIFY,,,,,,,,,,,,,,,
ACH-000111,HCC1187,BMGC_DS08035,breast ductal carcinoma,primary,carcinoma,breast,Breast:Carcinoma,BRCA,,,,,,,,,,,,,,,
ACH-000112,SIG-M5,BMGC_DS01407,acute myeloid leukemia,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,,,,,,,,,,,,,,,
ACH-000113,OCI-AML2,BMGC_DS01407,acute myeloid leukemia,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,,,,,,,,,,,,,,,
ACH-000114,SU.86.86,BMGC_DS05421,pancreatic adenocarcinoma,primary,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000115,VCaP,BMGC_DS06988,prostate carcinoma,metastasis,carcinoma,prostate,Prostate:Carcinoma,PRAD,,,,,,,,,,,,,,,
ACH-000116,OAW28,BMGC_DS07934,ovarian adenocarcinoma | ovary adenocarcinoma,primary,carcinoma,ovary,Ovary:Carcinoma,OV,CVCL_1614,High grade ovarian serous adenocarcinoma,,BMGC_DS20069,"Carcinoma, Ovarian Epithelial",BMGC_DS08982,ovarian transitional cell carcinoma | ovary transitional cell carcinoma,BMGC_DS08979,ovarian serous surface papillary adenocarcinoma | ovary papillary carcinoma,BMGC_DS09417,peritoneal serous adenocarcinoma | primary peritoneal serous adenocarcinoma,BMGC_DS20323,Fever,BMGC_DS22241,
ACH-000117,EFM-192A,BMGC_DS07015,breast carcinoma,metastasis,carcinoma,breast,Breast:Carcinoma,BRCA,,,,,,,,,,,,,,,
ACH-000118,HUP-T3,BMGC_DS05421,pancreatic adenocarcinoma,metastasis,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000120,CHP-212,BMGC_DS01722,neuroblastoma,primary,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,NB,,,,,,,,,,,,,,,
ACH-000121,NCI-H2405,BMGC_DS02944,lung adenocarcinoma,metastasis,carcinoma,lung_NSC,Lung:NSCLC_Adeno,LUAD,,,,,,,,,,,,,,,
ACH-000124,OCI-LY-19,BMGC_DS02693,diffuse large b-cell lymphoma,primary,lymphoid_neoplasm,lymphoma_DLBCL,Lymphoma:NH_B_cell,DLBC,,,,,,,,,,,,,,,
ACH-000129,NCI-H1341,BMGC_DS05350,cervical small cell carcinoma,metastasis,carcinoma,lung_small_cell,Lung:SCLC,SCLC,,,,,,,,,,,,,,,
ACH-000129,NCI-H1341,BMGC_DS21085,small cell lung carcinoma,metastasis,carcinoma,lung_small_cell,Lung:SCLC,SCLC,CVCL_1463,Cervical small cell neuroendocrine carcinoma,High-grade neuroendocrine carcinoma of the cervix uteri,BMGC_DS20198,"Carcinoma, Non-Small-Cell Lung",BMGC_DS08921,lung mixed small cell and squamous cell carcinoma,BMGC_DS08811,thymic large cell neuroendocrine carcinoma | thymus large cell carcinoma,BMGC_DS21184,small intestine carcinoid neuroendocrine tumor,BMGC_DS09172,endometrial endometrioid adenocarcinoma with spindled epithelial cells | sarcomatoid uterine corpus endometrioid adenocarcinoma,BMGC_DS08117,"endometrial endometrioid adenocarcinoma, secretory variant | secretory uterine corpus endometrioid adenocarcinoma"
ACH-000132,JHOS-2,BMGC_DS07934,ovarian adenocarcinoma | ovary adenocarcinoma,primary,carcinoma,ovary,Ovary:Carcinoma,OV,CVCL_4647,High grade ovarian serous adenocarcinoma,,BMGC_DS20069,"Carcinoma, Ovarian Epithelial",BMGC_DS08982,ovarian transitional cell carcinoma | ovary transitional cell carcinoma,BMGC_DS08979,ovarian serous surface papillary adenocarcinoma | ovary papillary carcinoma,BMGC_DS09417,peritoneal serous adenocarcinoma | primary peritoneal serous adenocarcinoma,BMGC_DS20323,Fever,BMGC_DS22241,
ACH-000136,CHP-126,BMGC_DS01722,neuroblastoma,primary,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,NB,,,,,,,,,,,,,,,
ACH-000137,8-MG-BA,BMGC_DS00965,glioblastoma,primary,glioma,glioma,CNS:Glioma_HighGrade,GBM,,,,,,,,,,,,,,,
ACH-000138,CFPAC-1,BMGC_DS00592,cystic fibrosis,metastasis,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000139,Panc 03.27,BMGC_DS05421,pancreatic adenocarcinoma,primary,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000142,CAL-29,BMGC_DS07053,bladder carcinoma,primary,carcinoma,urinary_tract,Bladder:Carcinoma,BLCA,,,,,,,,,,,,,,,
ACH-000144,RERF-GC-1B,BMGC_DS05289,gastric adenocarcinoma,metastasis,carcinoma,stomach,Gastric:Carcinoma,STAD,,,,,,,,,,,,,,,
ACH-000145,SK-LMS-1,BMGC_DS01379,leiomyosarcoma,primary,sarcoma,soft_tissue,,,,,,,,,,,,,,,,,
ACH-000146,THP-1,BMGC_DS20800,"leukemia, myeloid, acute",primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,CVCL_0006,Childhood acute monocytic leukemia,Acute monoblastic/monocytic leukemia,BMGC_DS20800,"Leukemia, Myeloid, Acute",BMGC_DS20480,"Leukemia, Myeloid",BMGC_DS05322,T-cell adult acute lymphocytic leukemia,BMGC_DS07386,adult acute lymphoblastic leukemia | adult acute lymphocytic leukemia,BMGC_DS09029,acute lymphoblastic leukemia | precursor lymphoblastic lymphoma/leukemia,BMGC_DS07386,adult acute lymphoblastic leukemia | adult acute lymphocytic leukemia
ACH-000147,T-47D,BMGC_DS07814,breast adenocarcinoma,metastasis,carcinoma,breast,Breast:Carcinoma,BRCA,CVCL_0553,Invasive breast carcinoma of no special type,,BMGC_DS20899,"Carcinoma, Ductal, Breast",BMGC_DS20069,"Carcinoma, Ovarian Epithelial",BMGC_DS04087,breast lobular carcinoma | invasive lobular carcinoma,BMGC_DS09098,breast papillary carcinoma | solid papillary breast carcinoma,BMGC_DS20323,Fever,BMGC_DS22241,
ACH-000148,Hs 578T,BMGC_DS07814,breast adenocarcinoma,primary,carcinoma,breast,Breast:Carcinoma,BRCA,CVCL_0332,Invasive breast carcinoma of no special type,,BMGC_DS20899,"Carcinoma, Ductal, Breast",BMGC_DS20069,"Carcinoma, Ovarian Epithelial",BMGC_DS04087,breast lobular carcinoma | invasive lobular carcinoma,BMGC_DS09098,breast papillary carcinoma | solid papillary breast carcinoma,BMGC_DS20323,Fever,BMGC_DS22241,
ACH-000149,SK-N-SH,BMGC_DS01722,neuroblastoma,metastasis,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,NB,,,,,,,,,,,,,,,
ACH-000151,JM1,BMGC_DS06157,precursor b-cell acute lymphoblastic leukemia,primary,lymphoid_neoplasm,lymphoma_other,Lymphoma:NH_B_cell,DLBC,,,,,,,,,,,,,,,
ACH-000153,NCI-H2052,BMGC_DS09237,pleural mesothelioma,metastasis,mesothelioma,mesothelioma,Lung:Mesothelioma,MESO,,,,,,,,,,,,,,,
ACH-000155,SW 1990,BMGC_DS05421,pancreatic adenocarcinoma,primary,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000157,A4/Fuk,BMGC_DS06157,precursor b-cell acute lymphoblastic leukemia,primary,lymphoid_neoplasm,lymphoma_DLBCL,Lymphoma:NH_B_cell,DLBC,,,,,,,,,,,,,,,
ACH-000159,OS-RC-2,BMGC_DS05359,clear cell renal cell carcinoma,primary,carcinoma,kidney,Kidney:Carcinoma,KIRC,,,,,,,,,,,,,,,
ACH-000161,COR-L105,BMGC_DS02944,lung adenocarcinoma,primary,carcinoma,lung_NSC,Lung:NSCLC_Adeno,LUAD,,,,,,,,,,,,,,,
ACH-000162,GA-10,BMGC_DS00331,burkitt lymphoma,primary,lymphoid_neoplasm,lymphoma_Burkitt,Lymphoma:NH_B_cell,DLBC,,,,,,,,,,,,,,,
ACH-000168,NOMO-1,BMGC_DS20800,"leukemia, myeloid, acute",primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,CVCL_1609,Adult acute monocytic leukemia,Acute monoblastic/monocytic leukemia,BMGC_DS20800,"Leukemia, Myeloid, Acute",BMGC_DS20480,"Leukemia, Myeloid",BMGC_DS05322,T-cell adult acute lymphocytic leukemia,BMGC_DS07386,adult acute lymphoblastic leukemia | adult acute lymphocytic leukemia,BMGC_DS09029,acute lymphoblastic leukemia | precursor lymphoblastic lymphoma/leukemia,BMGC_DS07386,adult acute lymphoblastic leukemia | adult acute lymphocytic leukemia
ACH-000169,RD,BMGC_DS04066,embryonal rhabdomyosarcoma,primary,rhabdomyosarcoma,soft_tissue,Soft_Tissue:Sarcoma_Rhabdoid,SARC,,,,,,,,,,,,,,,
ACH-000171,VMRC-RCZ,BMGC_DS00375,renal cell carcinoma,primary,carcinoma,kidney,Kidney:Carcinoma,KIRC,,,,,,,,,,,,,,,
ACH-000174,CAL-62,BMGC_DS21147,"thyroid carcinoma, anaplastic",primary,carcinoma,thyroid,Thyroid:Carcinoma,THCA,CVCL_1112,Thyroid gland anaplastic carcinoma,Anaplastic thyroid carcinoma,BMGC_DS03290,malignant tumor of parathyroid gland | parathyroid carcinoma,BMGC_DS21147,"Thyroid Carcinoma, Anaplastic",BMGC_DS04082,follicular thyroid carcinoma | thyroid gland follicular carcinoma,BMGC_DS03290,malignant tumor of parathyroid gland | parathyroid carcinoma,BMGC_DS03290,malignant tumor of parathyroid gland | parathyroid carcinoma,BMGC_DS04082,follicular thyroid carcinoma | thyroid gland follicular carcinoma
ACH-000176,LOU-NH91,BMGC_DS02872,lung squamous cell carcinoma,primary,carcinoma,lung_NSC,Lung:NSCLC_Squamous,LUSC,,,,,,,,,,,,,,,
ACH-000178,Hs 766T,BMGC_DS05421,pancreatic adenocarcinoma,metastasis,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,,,,,,,,,,,,,,,
ACH-000181,SCC-9,BMGC_DS06143,tongue squamous cell carcinoma,primary,carcinoma,upper_aerodigestive,Upper_Aerodigestive_Tract:Carcinoma,HNSC,,,,,,,,,,,,,,,
ACH-000183,L-363,BMGC_DS01639,plasma cell myeloma,primary,lymphoid_neoplasm,multiple_myeloma,Lymphoma:Multiple_Myeloma,MM,,,,,,,,,,,,,,,
ACH-000186,NCI-H2444,BMGC_DS00373,lung non-small cell carcinoma,primary,carcinoma,lung_NSC,Lung:NSCLC_Others,UNABLE TO CLASSIFY,,,,,,,,,,,,,,,
ACH-000187,COR-L311,BMGC_DS02887,lung small cell carcinoma,primary,carcinoma,lung_small_cell,Lung:SCLC,SCLC,,,,,,,,,,,,,,,
ACH-000188,SCC-25,BMGC_DS06143,tongue squamous cell carcinoma,primary,carcinoma,upper_aerodigestive,Upper_Aerodigestive_Tract:Carcinoma,HNSC,,,,,,,,,,,,,,,
ACH-000189,RCC10RGB,BMGC_DS00375,renal cell carcinoma,primary,carcinoma,kidney,Kidney:Carcinoma,KIRC,,,,,,,,,,,,,,,
ACH-000190,HD-MY-Z,BMGC_DS01407,acute myeloid leukemia,metastasis,lymphoid_neoplasm,lymphoma_Hodgkin,Lymphoma:Hodgkin,,,,,,,,,,,,,,,,
