depMapID,CCLE_ID,Name,Pathology,Site_Primary,Site_Subtype1,Site_Subtype2,Site_Subtype3,Histology,Hist_Subtype1,Hist_Subtype2,Hist_Subtype3,Gender,Life_Stage,Age,Race,Geo_Loc,inferred_ethnicity,Site_Of_Finding,Disease,Annotation_Source,Original.Source.of.Cell.Line,Characteristics,Growth.Medium,Supplements,Freezing.Medium,Doubling.Time.from.Vendor,Doubling.Time.Calculated.hrs,type,type_refined,PATHOLOGIST_ANNOTATION,mutRate,tcga_code
ACH-000019,MCF7_BREAST,MCF7,metastasis,breast,NS,NS,NS,carcinoma,NS,NS,NS,female,,69.0,caucasian,,Caucasian,pleura,breast_cancer,CCLE,ATCC,ADHERENT CELLS,EMEM+10% FBS,0.01 mg/ml bovine insulin,5% DMSO,,84.9,breast,breast,Breast:Carcinoma,95.02326297,BRCA
ACH-000020,MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MHH-CALL-2,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,NS,NS,female,,15.0,caucasian,,Caucasian,,,CCLE,DSMZ,"single, relatively small round cells growing in suspention",80% RPMI 1640 +20% h. i. FBS,,,~  100 hrs,,B-cell_ALL,B-cell_ALL,Leukemia:ALL,58.29266472,ALL
ACH-000021,NCIH1693_LUNG,NCI-H1693,metastasis,lung,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,,55.0,caucasian,,Caucasian,lymph_node,,CCLE,ATCC,Adherent,RPMI1640+5%FBS,,10%DMSO,,94.7,lung_NSC,lung_NSC,Lung:NSCLC_Adeno,103.8152089,LUAD
ACH-000023,PATU8988T_PANCREAS,PA-TU-8988T,metastasis,pancreas,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,female,,64.0,,,Caucasian,liver,,CCLE,GNF,,,,,,,pancreas,pancreas,Pancreas:Carcinoma,91.40122228,PAAD
ACH-000024,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OPM-2,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,plasma_cell_myeloma,NS,NS,female,,56.0,,,Asian,,multiple_myeloma,CCLE,DSMZ,suspension,RPMI + 10 % FBS,,5%DMSO,,93.0,multiple_myeloma,multiple_myeloma,Lymphoma:Multiple_Myeloma,149.10268,MM
ACH-000030,PC14_LUNG,PC-14,primary,lung,NS,NS,NS,carcinoma,non_small_cell_carcinoma,NS,NS,,,,asian,,Asian,,lung_cancer,CCLE,RIKEN,adherent,RPMI+10%FBS,,5%DMSO,,35.2966,lung_NSC,lung_NSC,Lung:NSCLC_Others,151.0705525,LUAD
ACH-000035,NCIH1650_LUNG,NCI-H1650,metastasis,lung,NS,NS,NS,carcinoma,bronchioloalveolar_adenocarcinoma,NS,NS,male,,27.0,caucasian,,Caucasian,pleura,lung_cancer,CCLE,ATCC,adherent; epithelial,RPMI+10%FBS,,5%DMSO,,52.2,lung_NSC,lung_NSC,Lung:NSCLC_Adeno,60.12771707,LUAD
ACH-000038,EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,EHEB,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma,NS,NS,female,,69.0,,,Caucasian,,,CCLE,DSMZ,"lymphoblastoid, round to polygonal, single or clustered cells in suspention",90% RPMI 1640 +10% h.i.FBS,,,~  50-70 hrs,176.0,lymphoma_other,B-cell_lymphoma_other,Leukemia:CLL,59.02873727,CLL
ACH-000040,U118MG_CENTRAL_NERVOUS_SYSTEM,U-118 MG,primary,central_nervous_system,brain,NS,NS,glioma,astrocytoma,NS,NS,,,,,,Caucasian,,brain_cancer,CCLE,,Adherent,DMEM+10% FBS,,5% DMSO,,49.9,glioma,glioma,CNS:Glioma,73.11071221,GBM
ACH-000042,PANC0203_PANCREAS,Panc 02.03,primary,pancreas,NS,NS,NS,carcinoma,NS,NS,NS,female,,70.0,caucasian,,Caucasian,,,CCLE,ATCC,adherent,RPMI + 10% FBS,,5% DMSO,,102.2,pancreas,pancreas,Pancreas:Carcinoma,65.59323234,PAAD
ACH-000045,MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MV-4-11,primary,haematopoietic_and_lymphoid_tissue,lymph_node,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M5,NS,male,,10.0,,,Caucasian,,leukaemia,CCLE,ATCC,suspension,IMDM+10% FBS,,5% DMSO,,55.2,AML,AML,Leukemia:AML,70.07829872,LAML
ACH-000046,ACHN_KIDNEY,ACHN,metastasis,kidney,NS,NS,NS,carcinoma,renal_cell_carcinoma,NS,NS,male,,22.0,caucasian,,Caucasian,pleura,kidney_cancer,CCLE,ATCC,Adherent,EMEM +10%FBS,,5% DMSO,,284.1,kidney,kidney,Kidney:Carcinoma,68.18873896,KIRC
ACH-000047,GCIY_STOMACH,GCIY,primary,stomach,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,,,asian,,Asian,,,CCLE,GNF,,,,,,,stomach,stomach,Gastric:Carcinoma,88.66578456,STAD
ACH-000048,TOV112D_OVARY,TOV-112D,primary,ovary,NS,NS,NS,carcinoma,endometrioid_carcinoma,NS,NS,female,,42.0,caucasian,canada,Caucasian,,endometrioid_carcinoma,CCLE,ATCC,adherent;,MCDB 105:MEDIUM 199 (1:1) +15% FBS,,5% DMSO,,35.5,ovary,ovary,Ovary:Carcinoma,71.79702895,OV
ACH-000050,NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NCI-H929,metastasis,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,plasma_cell_myeloma,NS,NS,female,,62.0,caucasian,,Caucasian,pleura,multiple_myeloma,CCLE,,Suspension,RPMI1640+10%FBS,,5%DMSO,,97.2,multiple_myeloma,multiple_myeloma,Lymphoma:Multiple_Myeloma,74.63707721,MM
ACH-000052,A673_BONE,A-673,primary,bone,NS,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,female,,15.0,,,Caucasian,,Ewings_sarcoma,CCLE,NIBRI,,,,,,,Ewings_Sarcoma,Ewings_sarcoma,Bone:Sarcoma_Ewing,61.21045057,SARC
ACH-000053,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KARPAS-299,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,anaplastic_large_cell_lymphoma,NS,NS,male,,25.0,,,Caucasian,,CD30+_anaplastic_large_cell_lymphoma,CCLE,ECAAC,"Lymphoblastoid, suspension",RPMI-1640+20% FBS,2mM L-glutamine,5% DMSO,30 hrs,45.5,lymphoma_other,T-cell_lymphoma_other,Lymphoma:NH_T_cell,68.12312717,
ACH-000054,HT1080_SOFT_TISSUE,HT-1080,metastasis,soft_tissue,fibrous_tissue_and_uncertain_origin,NS,NS,fibrosarcoma,NS,NS,NS,male,,35.0,caucasian,,Caucasian,acetabulum,fibrosarcoma_cancer,CCLE,ATCC,Epithelial Adherent,EMEM+10%FBS,,5%DMSO,,42.7,soft_tissue,soft_tissue,Soft_Tissue:Sarcoma_Fibro,79.58792792,SARC
ACH-000055,D283MED_CENTRAL_NERVOUS_SYSTEM,D283 Med,metastasis,central_nervous_system,cerebellum,NS,NS,primitive_neuroectodermal_tumour-medulloblastoma,NS,NS,NS,male,,6.0,caucasian,,Caucasian,peritoneum,,CCLE,NIBRI,,,,,,243.4,medulloblastoma,medulloblastoma,CNS:Medulloblastoma,85.48175072,MB
ACH-000056,DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,DOHH-2,metastasis,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,diffuse_large_B_cell_lymphoma,NS,NS,male,,60.0,,,Caucasian,pleura,,CCLE,DSMZ,cells grow as sinngle cells or in clumps in suspention,90% RPMI + 10% h.i.FBS,N/a,,~  40 hrs,119.2,lymphoma_DLBCL,lymphoma_DLBCL,Lymphoma:NH_B_cell,86.31442483,DLBC
ACH-000058,ML1_THYROID,ML-1,primary,thyroid,NS,NS,NS,carcinoma,follicular_carcinoma,NS,NS,,,,,,Caucasian,,,CCLE,DSMZ,ADHERENT MONOLAYERS,DMEM+20% FBS,,5%DMSO,4-7 DAYS,66.9,thyroid,thyroid,Thyroid:Carcinoma,67.7006558,THCA
ACH-000059,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SUP-B15,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,NS,NS,male,,9.0,caucasian,,Caucasian,,,CCLE,NIBRI,,,,,,,B-cell_ALL,B-cell_ALL,Leukemia:ALL,76.86299598,ALL
ACH-000060,PANC1005_PANCREAS,Panc 10.05,primary,pancreas,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,male,,,caucasian,,Caucasian,,,CCLE,NIBRI,,,,,,,pancreas,pancreas,Pancreas:Carcinoma,77.83727094,PAAD
ACH-000061,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HH,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,adult_T_cell_lymphoma-leukaemia,NS,NS,male,,61.0,caucasian,,Caucasian,,cutaneous T cell lymphoma,CCLE,NIBRI,,,,,,,T-cell_ALL,T-cell_ALL,Leukemia:ALL,79.63113609,ALL
ACH-000062,RERFLCMS_LUNG,RERF-LC-MS,primary,lung,NS,NS,NS,carcinoma,non_small_cell_carcinoma,NS,NS,,,,asian,,Asian,,lung_cancer,CCLE,JCRB,Adherent; dt=42.7 hrs,EMEM+10%FBS,NEAA,5% DMSO,,68.9,lung_NSC,lung_NSC,Lung:NSCLC_Others,105.6808319,LUAD
ACH-000065,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-AML5,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M4,NS,male,,77.0,,,Caucasian,,,CCLE,DSMZ,round cells growing singly or in clumps in suspention,70% alpha-MEM + 20% h. i. FBS,10% vol conditioned medium of cell line 5637 (DSM ACC 35) (or 10ng/ml GM-CSF,,~  30-50 hrs,,AML,AML,Leukemia:AML,86.42270075,LAML
ACH-000067,HS683_CENTRAL_NERVOUS_SYSTEM,Hs 683,primary,central_nervous_system,brain,NS,NS,glioma,NS,NS,NS,male,,76.0,caucasian,,Caucasian,,,CCLE,NIBRI,,,,,,,glioma,glioma,CNS:Glioma,85.7317995,LGG
ACH-000070,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,697,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,acute_lymphoblastic_B_cell_leukaemia,NS,NS,male,,12.0,,,Caucasian,,,CCLE,DSMZ,adherent,RPMI + 10 % FBS,,5% DMSO,,46.6,leukemia_other,leukemia_other,Leukemia:ALL,75.69945569,ALL
ACH-000072,MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,MEG-01,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,blast_phase_chronic_myeloid_leukaemia,NS,NS,male,,55.0,,,Asian,,,CCLE,NIBRI,,,,,,,CML,CML,Leukemia:CML,98.17774552,LCML
ACH-000073,GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GRANTA-519,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,mantle_cell_lymphoma,NS,NS,female,,58.0,caucasian,,Caucasian,,mantle_cell_lymphoma,CCLE,DSMZ,"spheroid cells growing in suspention, singly or in clumps",90% Dulbecco's MEM(4.5 g/L glucose) +10% h.i.FBS,2mM L-glutamine,,~ 49 hrs,,lymphoma_other,B-cell_lymphoma_other,Lymphoma:NH_B_cell,73.86512393,DLBC
ACH-000074,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KU812,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,chronic_myeloid_leukaemia,Ph_positive,NS,male,,38.0,asian,,Asian,,,CCLE,GNF,,,,,,,CML,CML,Leukemia:CML,91.91227013,LCML
ACH-000075,U87MG_CENTRAL_NERVOUS_SYSTEM,U-87 MG,primary,central_nervous_system,brain,NS,NS,glioma,astrocytoma,NS,NS,female,,44.0,caucasian,,Caucasian,,brain_cancer,CCLE,ATCC,Adherent epithelial.,EMEM + 10% FBS,,5%DMSO,,66.0,glioma,glioma,CNS:Glioma,88.68010645,GBM
ACH-000078,MHHNB11_AUTONOMIC_GANGLIA,MHH-NB-11,metastasis,autonomic_ganglia,NS,NS,NS,neuroblastoma,NS,NS,NS,male,,4.0,caucasian,,Caucasian,adrenal,,CCLE,DSMZ,"adherent, fibroblast-like cells growing as monolayers",90% RPMI 1640 +10% h. i. FBS,2mM L -glutamine +MEM non-essential amino acids,,~  100 hrs,,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,94.72120064,NB
ACH-000081,GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,GDM-1,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M4,NS,female,,66.0,caucasian,,Caucasian,,,CCLE,NIBRI,,,,,,,AML,AML,Leukemia:AML,83.72081463,LAML
ACH-000082,G292CLONEA141B1_BONE,"G-292, clone A141B1",primary,bone,NS,NS,NS,osteosarcoma,NS,NS,NS,female,,9.0,caucasian,,Caucasian,,,CCLE,,,,,,,,osteosarcoma,osteosarcoma,Bone:Sarcoma_Osteo,71.10858281,SARC
ACH-000087,SKES1_BONE,SK-ES-1,primary,bone,NS,NS,NS,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,NS,NS,male,,18.0,caucasian,,Caucasian,,Ewing family tumor,CCLE,NIBRI,,,,,,,Ewings_Sarcoma,Ewings_sarcoma,Bone:Sarcoma_Ewing,72.55788779,SARC
ACH-000090,PC3_PROSTATE,PC-3,metastasis,prostate,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,male,,62.0,caucasian,,Caucasian,bone,prostate_cancer,CCLE,ATCC,ADHERENT EPITHELIAL;,F-12 +10%FBS,,5% DMSO,,42.3,prostate,prostate,Prostate:Carcinoma,80.19387358,PRAD
ACH-000091,OV56_OVARY,OV56,primary,ovary,NS,NS,NS,carcinoma,NS,NS,NS,female,,46.0,,,Caucasian,,,CCLE,ECACC,adherent epithelial,DMEM:HAM's F12  1:1  +5% FBS,0.5 ug/ml hydrocortisone + 10ug/ml insulin,5%DMSO,,148.6,ovary,ovary,Ovary:Carcinoma,85.71718592,OV
ACH-000092,NCIH2452_PLEURA,NCI-H2452,metastasis,pleura,NS,NS,NS,mesothelioma,NS,NS,NS,male,,,,,Caucasian,pleura,,CCLE,ATCC,adherent,RPMI 1640 +10% FBS,,5%DMSO,,48.4,mesothelioma,mesothelioma,Lung:Mesothelioma,72.36669085,MESO
ACH-000094,HPAFII_PANCREAS,HPAF-II,metastasis,pancreas,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,male,,44.0,caucasian,,Caucasian,ascites,,CCLE,ATCC,ADHERENT EPITHELIAL;,EMEM+10% FBS,,5%DMSO,,79.0,pancreas,pancreas,Pancreas:Carcinoma,85.29688898,PAAD
ACH-000096,G401_SOFT_TISSUE,G-401,primary,soft_tissue,striated_muscle,kidney,NS,rhabdoid_tumour,NS,NS,NS,male,,0.25,caucasian,,Caucasian,,rhabdoid_tumour,CCLE,NIBRI,,,,,,,soft_tissue,soft_tissue,Soft_Tissue:Sarcoma_Rhabdoid,90.26965062,SARC
ACH-000098,GAMG_CENTRAL_NERVOUS_SYSTEM,GAMG,primary,central_nervous_system,NS,NS,NS,glioma,NS,NS,NS,female,,42.0,,,Caucasian,,,CCLE,DSMZ,"ADHERENT, LARGE, SPINDLE-LIKE CELLS GROWING AS MONOLAYERS",DMEM+10% FBS,"2mM L-GLUTAMINE, 4X MEM NON-ESSENTIAL AMINO ACIDS",5% DMSO,40-50 hrs,33.0,glioma,glioma,CNS:Glioma,74.35849532,LGG
ACH-000099,SIMA_AUTONOMIC_GANGLIA,SIMA,primary,autonomic_ganglia,NS,NS,NS,neuroblastoma,NS,NS,NS,male,,1.6666,caucasian,europe,Caucasian,,,CCLE,DSMZ,"cell shape is bipolar, cells growing as monolayer or forming foci",90% RPMI 1640 +10% h.i. FBS,2mM L-glutamine,,highly variable ~  34-100 hrs,,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,84.11208291,NB
ACH-000100,RH41_SOFT_TISSUE,RH-41,metastasis,soft_tissue,striated_muscle,NS,NS,rhabdomyosarcoma,alveolar,NS,NS,female,,,,,Caucasian,liver,,CCLE,DSMZ,"adherent, epithelial-like cells growing as monolayers","90% RPMI 1640 +10% h,i, FBS",,,~  2-3 days,,soft_tissue,soft_tissue,Soft_Tissue:Sarcoma_Rhabdoid,85.54240658,SARC
ACH-000101,KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KE-37,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,NS,NS,male,,27.0,,,Caucasian,,,CCLE,DSMZ,,,,,25 hrs,,leukemia_other,leukemia_other,Leukemia:ALL,90.43769726,ALL
ACH-000102,GMS10_CENTRAL_NERVOUS_SYSTEM,GMS-10,primary,central_nervous_system,brain,NS,NS,glioma,astrocytoma_Grade_IV,glioblastoma_multiforme,NS,male,,49.0,,,Caucasian,,,CCLE,DSMZ,fibroblst-like cells growing as monolayers,DMEM+20% FBS,2mM L-glutamine,5%DMSO,,61.1,glioma,glioma,CNS:Glioma_HighGrade,81.82765444,GBM
ACH-000103,CAOV4_OVARY,Caov-4,metastasis,ovary,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,female,,45.0,caucasian,,Caucasian,NS,,CCLE,,Adherent,,,5%DMSO,,,ovary,ovary,,77.29245748,OV
ACH-000104,LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Loucy,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,NS,NS,female,,38.0,caucasian,,Caucasian,,,CCLE,NIBRI,,,,,,,T-cell_ALL,T-cell_ALL,Leukemia:ALL,95.836918,ALL
ACH-000105,ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL-SIL,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,acute_lymphoblastic_T_cell_leukaemia,NS,NS,male,,17.0,,,Caucasian,,TALL,CCLE,DSMZ,Mostly round cellsgrowing singly or in small clusters in suspention,80-90% RPHI 1640+10-20% h.i.FBS,,10%DMSO,~  48 hrs,74.0,T-cell_ALL,T-cell_ALL,Leukemia:ALL,122.8998449,ALL
ACH-000106,JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,JVM-2,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,lymphoid_neoplasm,chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma,NS,NS,female,,63.0,,,Caucasian,,B-prolymphocytic_leukemia,CCLE,DSMZ,"lymphoblastoid, round to polygonal cells growing in clusters in suspention",90% RPMI 1640 +10% h.i. FBS,,,~  50-70 hrs,,lymphoma_other,B-cell_lymphoma_other,Lymphoma:NH_B_cell,84.15284963,CLL
ACH-000107,CAPAN2_PANCREAS,Capan-2,primary,pancreas,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,male,,56.0,caucasian,,Caucasian,,,CCLE,NIBRI,,,,,,,pancreas,pancreas,Pancreas:Carcinoma,75.23691952,PAAD
ACH-000108,KP3_PANCREAS,KP-3,metastasis,pancreas,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,male,,75.0,asian,japan,Asian,liver,,CCLE,HSSRB,epithelial-like,RPMI 1640 medium with 10% fetal bovine serum,,,,,pancreas,pancreas,Pancreas:Carcinoma,110.455866,UNABLE TO CLASSIFY
ACH-000111,HCC1187_BREAST,HCC1187,primary,breast,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,female,,41.0,caucasian,,Caucasian,,ductal_carcinoma,CCLE,ATCC,Epithelial; mixed adherent and suspension,RPMI-1640+10% FBS,,5%DMSO,,66.0,breast,breast,Breast:Carcinoma,82.86196811,BRCA
ACH-000112,SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SIG-M5,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M5a,NS,male,,63.0,,,Caucasian,,,CCLE,DSMZ,large round cells growing singly  in suspention,80% Iscove's MDM + 20% h.i. FBS,,,~  72 hrs,,AML,AML,Leukemia:AML,93.0784535,LAML
ACH-000113,OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OCI-AML2,primary,haematopoietic_and_lymphoid_tissue,NS,NS,NS,haematopoietic_neoplasm,acute_myeloid_leukaemia,M4,NS,male,,65.0,,,Caucasian,,,CCLE,DSMZ,"single, round to oval cells  in suspention",80-90% RPMI 1640 +10-20% h. i. FBS,,,~ 30-50 hrs,,AML,AML,Leukemia:AML,102.9637208,LAML
ACH-000114,SU8686_PANCREAS,SU.86.86,primary,pancreas,NS,NS,NS,carcinoma,ductal_carcinoma,NS,NS,female,,57.0,caucasian,,Caucasian,,,CCLE,NIBRI,,RPMI-1640+10% FBS,,5% DMSO,,62.1,pancreas,pancreas,Pancreas:Carcinoma,82.22981768,PAAD
ACH-000115,VCAP_PROSTATE,VCaP,metastasis,prostate,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,male,,59.0,caucasian,,Caucasian,vertebra,prostate_cancer,CCLE,ATCC,Adherent,DMEM + 10% FBS,,5%DMSO,,,prostate,prostate,Prostate:Carcinoma,84.97649095,PRAD
ACH-000116,OAW28_OVARY,OAW28,primary,ovary,NS,NS,NS,carcinoma,NS,NS,NS,female,,,,,Caucasian,,,CCLE,ECACC,,,,,,,ovary,ovary,Ovary:Carcinoma,83.53376636,OV
ACH-000117,EFM192A_BREAST,EFM-192A,metastasis,breast,NS,NS,NS,carcinoma,NS,NS,NS,female,,46.0,caucasian,,Caucasian,pleura,breast_cancer,CCLE,NIBRI,,,,,,96.7,breast,breast,Breast:Carcinoma,81.56505021,BRCA
ACH-000118,HUPT3_PANCREAS,HUP-T3,metastasis,pancreas,NS,NS,NS,carcinoma,NS,NS,NS,male,,66.0,asian,japan,Asian,ascites,,CCLE,DSMZ,adherent; dt=40-50hrs,EMEM+10%FBS,1% NEAA + 1% sodium pyruvate,10% DMSO,,106.0,pancreas,pancreas,Pancreas:Carcinoma,116.5594164,PAAD
ACH-000120,CHP212_AUTONOMIC_GANGLIA,CHP-212,primary,autonomic_ganglia,NS,NS,NS,neuroblastoma,NS,NS,NS,,,,,,Caucasian,,neuroblastoma,CCLE,NIBRI,,,,,,93.8,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,89.60933679,NB
ACH-000121,NCIH2405_LUNG,NCI-H2405,metastasis,lung,NS,NS,NS,carcinoma,adenocarcinoma,NS,NS,male,,47.0,caucasian,,Caucasian,ascites,,CCLE,,,,,,,,lung_NSC,lung_NSC,Lung:NSCLC_Adeno,99.09336648,LUAD
