depMapID,Name,Pathology,Histology,type,PATHOLOGIST_ANNOTATION,tcga_code,id,xref_NCIt_ID,xref_NCIt_name,NCIt_BMGC_ID,NCIt_BMGC_name,xref_ORDO_ID,xref_ORDO_name,ORDO_BMGC_ID,ORDO_BMGC_name
ACH-000067,Hs 683,primary,glioma,glioma,CNS:Glioma,LGG,CVCL_0844,NCIt:C3288,Oligodendroglioma,BMGC_DS01767,oligodendroglioma,ORDO:Orphanet_251627,Oligodendroglioma,BMGC_DS01767,oligodendroglioma
ACH-000070,697,primary,lymphoid_neoplasm,leukemia_other,Leukemia:ALL,ALL,CVCL_0079,NCIt:C9140,Childhood B acute lymphoblastic leukemia,,,ORDO:Orphanet_585956,B-lymphoblastic leukemia/lymphoma with t(1;19)(q23;p13.3),,
ACH-000072,MEG-01,primary,haematopoietic_neoplasm,CML,Leukemia:CML,LCML,CVCL_0425,NCIt:C9110,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",BMGC_DS00276,"blast phase chronic myelogenous leukemia, BCR-ABL1 positive",ORDO:Orphanet_521,Chronic myeloid leukemia,BMGC_DS01409,chronic myeloid leukemia
ACH-000078,MHH-NB-11,metastasis,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,NB,CVCL_1412,NCIt:C3270,Neuroblastoma,BMGC_DS01722,neuroblastoma,ORDO:Orphanet_635,Neuroblastoma,BMGC_DS01722,neuroblastoma
ACH-000081,GDM-1,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,CVCL_1230,NCIt:C9154,Adult acute myeloid leukemia,,,ORDO:Orphanet_519,Acute myeloid leukemia,BMGC_DS01407,acute myeloid leukemia
ACH-000087,SK-ES-1,primary,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,Ewings_Sarcoma,Bone:Sarcoma_Ewing,SARC,CVCL_0627,NCIt:C4817,Ewing sarcoma,BMGC_DS06886,Ewing sarcoma,ORDO:Orphanet_319,Ewing sarcoma,BMGC_DS06886,Ewing sarcoma
ACH-000090,PC-3,metastasis,carcinoma,prostate,Prostate:Carcinoma,PRAD,CVCL_0035,NCIt:C4863,Prostate carcinoma,BMGC_DS06988,prostate carcinoma,,,,
ACH-000091,OV56,primary,carcinoma,ovary,Ovary:Carcinoma,OV,CVCL_2673,NCIt:C7550,Ovarian serous adenocarcinoma,BMGC_DS08978,ovarian serous adenocarcinoma,,,,
ACH-000092,NCI-H2452,metastasis,mesothelioma,mesothelioma,Lung:Mesothelioma,MESO,CVCL_1553,NCIt:C45665,Pleural biphasic mesothelioma,,,ORDO:Orphanet_50251,Pleural mesothelioma,BMGC_DS09237,pleural mesothelioma
ACH-000094,HPAF-II,metastasis,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,CVCL_0313,NCIt:C9120,Pancreatic ductal adenocarcinoma,BMGC_DS08986,pancreatic ductal adenocarcinoma,,,,
ACH-000096,G-401,primary,rhabdoid_tumour,soft_tissue,Soft_Tissue:Sarcoma_Rhabdoid,SARC,CVCL_0270,NCIt:C8715,Rhabdoid tumor of the kidney,BMGC_DS07789,rhabdoid tumor of the kidney,ORDO:Orphanet_69077,Rhabdoid tumor,BMGC_DS04120,rhabdoid tumor
ACH-000101,KE-37,primary,lymphoid_neoplasm,leukemia_other,Leukemia:ALL,ALL,CVCL_1327,NCIt:C9142,Adult T acute lymphoblastic leukemia,,,ORDO:Orphanet_99861,Precursor T-cell acute lymphoblastic leukemia,,
ACH-000102,GMS-10,primary,glioma,glioma,CNS:Glioma_HighGrade,GBM,CVCL_1233,NCIt:C3058,Glioblastoma,BMGC_DS00965,glioblastoma,ORDO:Orphanet_360,Glioblastoma,BMGC_DS00965,glioblastoma
ACH-000103,Caov-4,metastasis,carcinoma,ovary,,OV,CVCL_0202,NCIt:C105555,High grade ovarian serous adenocarcinoma,,,,,,
ACH-000104,Loucy,primary,lymphoid_neoplasm,T-cell_ALL,Leukemia:ALL,ALL,CVCL_1380,NCIt:C9142,Adult T acute lymphoblastic leukemia,,,ORDO:Orphanet_99861,Precursor T-cell acute lymphoblastic leukemia,,
ACH-000105,ALL-SIL,primary,lymphoid_neoplasm,T-cell_ALL,Leukemia:ALL,ALL,CVCL_1805,NCIt:C7953,Childhood T acute lymphoblastic leukemia,,,ORDO:Orphanet_99861,Precursor T-cell acute lymphoblastic leukemia,,
ACH-000106,JVM-2,primary,lymphoid_neoplasm,lymphoma_other,Lymphoma:NH_B_cell,CLL,CVCL_1319,NCIt:C4337,Mantle cell lymphoma,BMGC_DS07533,mantle cell lymphoma,ORDO:Orphanet_52416,Mantle cell lymphoma,BMGC_DS07533,mantle cell lymphoma
ACH-000107,Capan-2,primary,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,CVCL_0026,NCIt:C9120,Pancreatic ductal adenocarcinoma,BMGC_DS08986,pancreatic ductal adenocarcinoma,,,,
ACH-000108,KP-3,metastasis,carcinoma,pancreas,Pancreas:Carcinoma,UNABLE TO CLASSIFY,CVCL_3005,NCIt:C5721,Pancreatic adenosquamous carcinoma,BMGC_DS08983,pancreatic adenosquamous carcinoma,ORDO:Orphanet_424039,Squamous cell carcinoma of pancreas,,
ACH-000111,HCC1187,primary,carcinoma,breast,Breast:Carcinoma,BRCA,CVCL_1247,NCIt:C4017,Breast ductal carcinoma,BMGC_DS08035,breast ductal carcinoma,,,,
ACH-000112,SIG-M5,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,CVCL_1694,NCIt:C9154,Adult acute myeloid leukemia,,,ORDO:Orphanet_519,Acute myeloid leukemia,BMGC_DS01407,acute myeloid leukemia
ACH-000114,SU.86.86,primary,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,CVCL_3881,NCIt:C8294,Pancreatic adenocarcinoma,BMGC_DS05421,pancreatic adenocarcinoma,,,,
ACH-000115,VCaP,metastasis,carcinoma,prostate,Prostate:Carcinoma,PRAD,CVCL_2235,NCIt:C4863,Prostate carcinoma,BMGC_DS06988,prostate carcinoma,,,,
ACH-000116,OAW28,primary,carcinoma,ovary,Ovary:Carcinoma,OV,CVCL_1614,NCIt:C105555,High grade ovarian serous adenocarcinoma,,,,,,
ACH-000117,EFM-192A,metastasis,carcinoma,breast,Breast:Carcinoma,BRCA,CVCL_1812,NCIt:C4872,Breast carcinoma,BMGC_DS07015,breast carcinoma,,,,
ACH-000120,CHP-212,primary,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,NB,CVCL_1125,NCIt:C3270,Neuroblastoma,BMGC_DS01722,neuroblastoma,ORDO:Orphanet_635,Neuroblastoma,BMGC_DS01722,neuroblastoma
ACH-000121,NCI-H2405,metastasis,carcinoma,lung_NSC,Lung:NSCLC_Adeno,LUAD,CVCL_1551,NCIt:C3512,Lung adenocarcinoma,BMGC_DS02944,lung adenocarcinoma,,,,
ACH-000129,NCI-H1341,metastasis,carcinoma,lung_small_cell,Lung:SCLC,SCLC,CVCL_1463,NCIt:C7982,Cervical small cell carcinoma,BMGC_DS05350,cervical small cell carcinoma,ORDO:Orphanet_213777,High-grade neuroendocrine carcinoma of the cervix uteri,,
ACH-000132,JHOS-2,primary,carcinoma,ovary,Ovary:Carcinoma,OV,CVCL_4647,NCIt:C105555,High grade ovarian serous adenocarcinoma,,,,,,
ACH-000136,CHP-126,primary,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,NB,CVCL_1123,NCIt:C3270,Neuroblastoma,BMGC_DS01722,neuroblastoma,ORDO:Orphanet_635,Neuroblastoma,BMGC_DS01722,neuroblastoma
ACH-000137,8-MG-BA,primary,glioma,glioma,CNS:Glioma_HighGrade,GBM,CVCL_1052,NCIt:C3058,Glioblastoma,BMGC_DS00965,glioblastoma,ORDO:Orphanet_360,Glioblastoma,BMGC_DS00965,glioblastoma
ACH-000138,CFPAC-1,metastasis,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,CVCL_1119,NCIt:C2975,Cystic fibrosis,BMGC_DS00592,Cystic Fibrosis,ORDO:Orphanet_586,Cystic fibrosis,BMGC_DS00592,Cystic Fibrosis
ACH-000139,Panc 03.27,primary,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,CVCL_1635,NCIt:C8294,Pancreatic adenocarcinoma,BMGC_DS05421,pancreatic adenocarcinoma,,,,
ACH-000142,CAL-29,primary,carcinoma,urinary_tract,Bladder:Carcinoma,BLCA,CVCL_1808,NCIt:C4912,Bladder carcinoma,BMGC_DS07053,bladder carcinoma,,,,
ACH-000144,RERF-GC-1B,metastasis,carcinoma,stomach,Gastric:Carcinoma,STAD,CVCL_3152,NCIt:C4004,Gastric adenocarcinoma,BMGC_DS05289,gastric adenocarcinoma,,,,
ACH-000145,SK-LMS-1,primary,sarcoma,soft_tissue,,,CVCL_0628,NCIt:C40318,Vulvar leiomyosarcoma,,,ORDO:Orphanet_64720,Leiomyosarcoma,BMGC_DS01379,leiomyosarcoma
ACH-000146,THP-1,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,CVCL_0006,NCIt:C9163,Childhood acute monocytic leukemia,,,ORDO:Orphanet_514,Acute monoblastic/monocytic leukemia,,
ACH-000147,T-47D,metastasis,carcinoma,breast,Breast:Carcinoma,BRCA,CVCL_0553,NCIt:C4194,Invasive breast carcinoma of no special type,,,,,,
ACH-000148,Hs 578T,primary,carcinoma,breast,Breast:Carcinoma,BRCA,CVCL_0332,NCIt:C4194,Invasive breast carcinoma of no special type,,,,,,
ACH-000149,SK-N-SH,metastasis,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,NB,CVCL_0531,NCIt:C3270,Neuroblastoma,BMGC_DS01722,neuroblastoma,ORDO:Orphanet_635,Neuroblastoma,BMGC_DS01722,neuroblastoma
ACH-000153,NCI-H2052,metastasis,mesothelioma,mesothelioma,Lung:Mesothelioma,MESO,CVCL_1518,NCIt:C45663,Pleural sarcomatoid mesothelioma,,,ORDO:Orphanet_50251,Pleural mesothelioma,BMGC_DS09237,pleural mesothelioma
ACH-000159,OS-RC-2,primary,carcinoma,kidney,Kidney:Carcinoma,KIRC,CVCL_1626,NCIt:C4033,Clear cell renal cell carcinoma,BMGC_DS05359,clear cell renal cell carcinoma,ORDO:Orphanet_319276,Clear cell renal carcinoma,BMGC_DS05359,clear cell renal carcinoma
ACH-000161,COR-L105,primary,carcinoma,lung_NSC,Lung:NSCLC_Adeno,LUAD,CVCL_1138,NCIt:C3512,Lung adenocarcinoma,BMGC_DS02944,lung adenocarcinoma,,,,
ACH-000162,GA-10,primary,lymphoid_neoplasm,lymphoma_Burkitt,Lymphoma:NH_B_cell,DLBC,CVCL_1222,NCIt:C7954,Adult Burkitt leukemia,,,ORDO:Orphanet_543,Burkitt lymphoma,BMGC_DS00331,Burkitt lymphoma
ACH-000168,NOMO-1,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,CVCL_1609,NCIt:C8263,Adult acute monocytic leukemia,,,ORDO:Orphanet_514,Acute monoblastic/monocytic leukemia,,
ACH-000169,RD,primary,rhabdomyosarcoma,soft_tissue,Soft_Tissue:Sarcoma_Rhabdoid,SARC,CVCL_1649,NCIt:C8971,Embryonal rhabdomyosarcoma,BMGC_DS04066,embryonal rhabdomyosarcoma,ORDO:Orphanet_99757,Embryonal rhabdomyosarcoma,BMGC_DS04066,embryonal rhabdomyosarcoma
ACH-000171,VMRC-RCZ,primary,carcinoma,kidney,Kidney:Carcinoma,KIRC,CVCL_1791,NCIt:C9385,Renal cell carcinoma,BMGC_DS00375,renal cell carcinoma,ORDO:Orphanet_217071,Renal cell carcinoma,BMGC_DS00375,renal cell carcinoma
ACH-000174,CAL-62,primary,carcinoma,thyroid,Thyroid:Carcinoma,THCA,CVCL_1112,NCIt:C3878,Thyroid gland anaplastic carcinoma,,,ORDO:Orphanet_142,Anaplastic thyroid carcinoma,,
ACH-000176,LOU-NH91,primary,carcinoma,lung_NSC,Lung:NSCLC_Squamous,LUSC,CVCL_2104,NCIt:C3493,Lung squamous cell carcinoma,BMGC_DS02872,lung squamous cell carcinoma,,,,
ACH-000178,Hs 766T,metastasis,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,CVCL_0334,NCIt:C8294,Pancreatic adenocarcinoma,BMGC_DS05421,pancreatic adenocarcinoma,,,,
ACH-000181,SCC-9,primary,carcinoma,upper_aerodigestive,Upper_Aerodigestive_Tract:Carcinoma,HNSC,CVCL_1685,NCIt:C4648,Tongue squamous cell carcinoma,BMGC_DS06143,tongue squamous cell carcinoma,ORDO:Orphanet_457252,Squamous cell carcinoma of the oral tongue,,
ACH-000183,L-363,primary,lymphoid_neoplasm,multiple_myeloma,Lymphoma:Multiple_Myeloma,MM,CVCL_1357,NCIt:C3242,Plasma cell myeloma,BMGC_DS01639,plasma cell myeloma,ORDO:Orphanet_29073,Multiple myeloma,BMGC_DS01639,multiple myeloma
ACH-000186,NCI-H2444,primary,carcinoma,lung_NSC,Lung:NSCLC_Others,UNABLE TO CLASSIFY,CVCL_1552,NCIt:C2926,Lung non-small cell carcinoma,BMGC_DS00373,lung non-small cell carcinoma,,,,
ACH-000187,COR-L311,primary,carcinoma,lung_small_cell,Lung:SCLC,SCLC,CVCL_2412,NCIt:C4917,Lung small cell carcinoma,BMGC_DS02887,lung small cell carcinoma,ORDO:Orphanet_70573,Small cell lung cancer,,
ACH-000188,SCC-25,primary,carcinoma,upper_aerodigestive,Upper_Aerodigestive_Tract:Carcinoma,HNSC,CVCL_1682,NCIt:C4648,Tongue squamous cell carcinoma,BMGC_DS06143,tongue squamous cell carcinoma,ORDO:Orphanet_457252,Squamous cell carcinoma of the oral tongue,,
ACH-000189,RCC10RGB,primary,carcinoma,kidney,Kidney:Carcinoma,KIRC,CVCL_1647,NCIt:C9385,Renal cell carcinoma,BMGC_DS00375,renal cell carcinoma,ORDO:Orphanet_217071,Renal cell carcinoma,BMGC_DS00375,renal cell carcinoma
ACH-000190,HD-MY-Z,metastasis,lymphoid_neoplasm,lymphoma_Hodgkin,Lymphoma:Hodgkin,,CVCL_1273,NCIt:C9154,Adult acute myeloid leukemia,,,ORDO:Orphanet_519,Acute myeloid leukemia,BMGC_DS01407,acute myeloid leukemia
ACH-000191,BHT-101,metastasis,carcinoma,thyroid,Thyroid:Carcinoma,THCA,CVCL_1085,NCIt:C3878,Thyroid gland anaplastic carcinoma,,,ORDO:Orphanet_142,Anaplastic thyroid carcinoma,,
ACH-000192,MFE-280,primary,carcinoma,endometrium,Endometrium:Carcinoma,UCEC,CVCL_1405,NCIt:C7359,Endometrial adenocarcinoma,BMGC_DS05364,endometrial adenocarcinoma,,,,
ACH-000196,HCC1599,primary,carcinoma,breast,Breast:Carcinoma,BRCA,CVCL_1256,NCIt:C4017,Breast ductal carcinoma,BMGC_DS08035,breast ductal carcinoma,,,,
ACH-000200,NMC-G1,primary,glioma,glioma,CNS:Glioma,LGG,CVCL_1608,NCIt:C60781,Astrocytoma,BMGC_DS20147,Astrocytoma,ORDO:Orphanet_94,Astrocytoma,BMGC_DS20147,Astrocytoma
ACH-000201,A-204,primary,rhabdoid_tumour,soft_tissue,Soft_Tissue:Sarcoma_Rhabdoid,SARC,CVCL_1058,NCIt:C8971,Embryonal rhabdomyosarcoma,BMGC_DS04066,embryonal rhabdomyosarcoma,ORDO:Orphanet_99757,Embryonal rhabdomyosarcoma,BMGC_DS04066,embryonal rhabdomyosarcoma
ACH-000204,LP-1,primary,lymphoid_neoplasm,multiple_myeloma,Lymphoma:Multiple_Myeloma,MM,CVCL_0012,NCIt:C3242,Plasma cell myeloma,BMGC_DS01639,plasma cell myeloma,ORDO:Orphanet_29073,Multiple myeloma,BMGC_DS01639,multiple myeloma
ACH-000207,Detroit 562,metastasis,carcinoma,upper_aerodigestive,Upper_Aerodigestive_Tract:Carcinoma,HNSC,CVCL_1171,NCIt:C102872,Pharyngeal squamous cell carcinoma,BMGC_DS08360,pharyngeal squamous cell carcinoma,ORDO:Orphanet_502363,Squamous cell carcinoma of the oral cavity,,
ACH-000210,CADO-ES1,metastasis,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,Ewings_Sarcoma,Bone:Sarcoma_Ewing,SARC,CVCL_1103,NCIt:C4817,Ewing sarcoma,BMGC_DS06886,Ewing sarcoma,ORDO:Orphanet_319,Ewing sarcoma,BMGC_DS06886,Ewing sarcoma
ACH-000211,Daoy,primary,primitive_neuroectodermal_tumour-medulloblastoma,medulloblastoma,CNS:Medulloblastoma,MB,CVCL_1167,NCIt:C129442,"Medulloblastoma, SHH-activated, TP53-mutant",,,ORDO:Orphanet_616,Medulloblastoma,BMGC_DS01553,medulloblastoma
ACH-000212,CAL-120,metastasis,carcinoma,breast,Breast:Carcinoma,BRCA,CVCL_1104,NCIt:C4872,Breast carcinoma,BMGC_DS07015,breast carcinoma,,,,
ACH-000217,JHH-6,primary,carcinoma,liver,Liver:HCC,LIHC,CVCL_2788,NCIt:C3098,Hepatitis C infection,,,ORDO:Orphanet_210159,Adult hepatocellular carcinoma,BMGC_DS05326,adult hepatocellular carcinoma
ACH-000218,PL-21,primary,haematopoietic_neoplasm,AML,Leukemia:AML,LAML,CVCL_2161,NCIt:C9154,Adult acute myeloid leukemia,,,ORDO:Orphanet_519,Acute myeloid leukemia,BMGC_DS01407,acute myeloid leukemia
ACH-000219,A-375,primary,malignant_melanoma,melanoma,Skin:Melanoma,SKCM,CVCL_0132,NCIt:C3802,Amelanotic melanoma,BMGC_DS04117,amelanotic melanoma,,,,
ACH-000221,SNU-398,primary,carcinoma,liver,Liver:HCC,LIHC,CVCL_0077,NCIt:C7956,Adult hepatocellular carcinoma,BMGC_DS05326,adult hepatocellular carcinoma,ORDO:Orphanet_210159,Adult hepatocellular carcinoma,BMGC_DS05326,adult hepatocellular carcinoma
ACH-000222,AsPC-1,metastasis,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,CVCL_0152,NCIt:C9120,Pancreatic ductal adenocarcinoma,BMGC_DS08986,pancreatic ductal adenocarcinoma,,,,
ACH-000223,HCC1937,primary,carcinoma,breast,Breast:Carcinoma,BRCA,CVCL_0290,NCIt:C4017,Breast ductal carcinoma,BMGC_DS08035,breast ductal carcinoma,,,,
ACH-000225,ECC12,metastasis,carcinoma,stomach,Gastric:Carcinoma,STAD,CVCL_1189,NCIt:C6764,Gastric small cell carcinoma,BMGC_DS08739,gastric small cell carcinoma,,,,
ACH-000226,SUP-M2,metastasis,lymphoid_neoplasm,lymphoma_other,Lymphoma:NH_T_cell,,CVCL_2209,NCIt:C37193,"Anaplastic large cell lymphoma, ALK-positive",,,ORDO:Orphanet_300895,ALK-positive anaplastic large cell lymphoma,BMGC_DS08403,ALK-positive anaplastic large cell lymphoma
ACH-000227,KP-N-YN,metastasis,neuroblastoma,neuroblastoma,PNET:Neuroblastoma,NB,CVCL_1341,NCIt:C4827,Adrenal gland neuroblastoma,BMGC_DS06911,adrenal gland neuroblastoma,ORDO:Orphanet_635,Neuroblastoma,BMGC_DS01722,neuroblastoma
ACH-000228,BICR 31,primary,carcinoma,upper_aerodigestive,Upper_Aerodigestive_Tract:Carcinoma,HNSC,CVCL_2312,NCIt:C4648,Tongue squamous cell carcinoma,BMGC_DS06143,tongue squamous cell carcinoma,ORDO:Orphanet_457252,Squamous cell carcinoma of the oral tongue,,
ACH-000231,KALS-1,primary,glioma,glioma,CNS:Glioma,LGG,CVCL_1323,NCIt:C3058,Glioblastoma,BMGC_DS00965,glioblastoma,ORDO:Orphanet_360,Glioblastoma,BMGC_DS00965,glioblastoma
ACH-000233,DEL,metastasis,lymphoid_neoplasm,lymphoma_other,Lymphoma:NH_T_cell,,CVCL_1170,NCIt:C37193,"Anaplastic large cell lymphoma, ALK-positive",,,ORDO:Orphanet_300895,ALK-positive anaplastic large cell lymphoma,BMGC_DS08403,ALK-positive anaplastic large cell lymphoma
ACH-000235,Panc 04.03,primary,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,CVCL_1636,NCIt:C9120,Pancreatic ductal adenocarcinoma,BMGC_DS08986,pancreatic ductal adenocarcinoma,,,,
ACH-000236,SW1417,primary,carcinoma,colorectal,Colorectal:Carcinoma,COAD/READ,CVCL_1717,NCIt:C4349,Colon adenocarcinoma,BMGC_DS05624,colon adenocarcinoma,,,,
ACH-000238,SCC-4,primary,carcinoma,upper_aerodigestive,Upper_Aerodigestive_Tract:Carcinoma,HNSC,CVCL_1684,NCIt:C4648,Tongue squamous cell carcinoma,BMGC_DS06143,tongue squamous cell carcinoma,ORDO:Orphanet_457252,Squamous cell carcinoma of the oral tongue,,
ACH-000243,DAN-G,primary,carcinoma,pancreas,Pancreas:Carcinoma,PAAD,CVCL_0243,NCIt:C8294,Pancreatic adenocarcinoma,BMGC_DS05421,pancreatic adenocarcinoma,,,,
ACH-000244,DK-MG,primary,glioma,glioma,CNS:Glioma_HighGrade,GBM,CVCL_1173,NCIt:C3058,Glioblastoma,BMGC_DS00965,glioblastoma,ORDO:Orphanet_360,Glioblastoma,BMGC_DS00965,glioblastoma
ACH-000245,BL-41,primary,lymphoid_neoplasm,lymphoma_Burkitt,Lymphoma:NH_B_cell,DLBC,CVCL_1087,NCIt:C2912,Burkitt lymphoma,BMGC_DS00331,Burkitt lymphoma,ORDO:Orphanet_543,Burkitt lymphoma,BMGC_DS00331,Burkitt lymphoma
